ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
4338,Dietary Supplement/Medications/Remedy,Leaf Care Piloss Cap,Mercury,3.7,ppm,Baidyanath/Goodcare Pharma Pvt. Ltd.,INDIA,06/27/2019 12:00:00 AM,No
3175,Dietary Supplement/Medications/Remedy,Inflavonoid Intergrative Care,Mercury,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/03/2018 12:00:00 AM,No
3029,Food-Spice,Cumin Seed,Lead,-1,ppm,UNKNOWN OR NOT STATED,PAKISTAN,06/21/2018 12:00:00 AM,No
4784,Dietary Supplement/Medications/Remedy,Beijing Pharmaceutical Joint Ligament Pain Buster,Cadmium,-1,ppm,Beijing Pharmaceutical,CHINA,10/17/2019 12:00:00 AM,No
3011,Food-Spice,Chili Powder,Lead,0.35,ppm,UNKNOWN OR NOT STATED,PAKISTAN,06/04/2018 12:00:00 AM,No
444,Food-Candy,CarlosV candy bar,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,04/30/2012 12:00:00 AM,No
4594,Dietary Supplement/Medications/Remedy,Ibuprofen and Paracetamol Suspension,Lead,-1,ppm,UNKNOWN OR NOT STATED,NEPAL,09/03/2019 12:00:00 AM,No
1694,Food-Spice,Paprika,Lead,2400,ppm,UNKNOWN OR NOT STATED,ALGERIA,03/09/2016 12:00:00 AM,No
1597,Food-Spice,Mustard seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,12/11/2015 12:00:00 AM,No
5015,Dietary Supplement/Medications/Remedy,Angelicae Longona Extract (Concentrated) Dietary Herbal Supplement Gui Pi Wan,Mercury,-1,ppm,UNKNOWN OR NOT STATED,CHINA,12/13/2019 12:00:00 AM,No
663,Religious powder,Bhai Tika,Lead,2.3,ppm,UNKNOWN OR NOT STATED,INDIA,12/03/2012 12:00:00 AM,No
4974,Food Other,Canola oil,Lead,-1,MG/L,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,11/27/2019 12:00:00 AM,No
2417,Dietary Supplement/Medications/Remedy,Tierra Santa,Arsenic,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/15/2017 12:00:00 AM,No
3162,Food-Spice,Caraway Seed Powder,Mercury,-1,ppm,UNKNOWN OR NOT STATED,ALGERIA,09/24/2018 12:00:00 AM,No
5023,Dietary Supplement/Medications/Remedy,"Shantou Olive Pharmaceutical Co., Ltd. Yu Lam Pe Min Kan",Lead,-1,ppm,"Shantou Olive Pharmaceutical Co., Ltd.",CHINA,12/13/2019 12:00:00 AM,No
1136,Dietary Supplement/Medications/Remedy,Bo Ying  Compound,Arsenic,-1,ppm,Eu Yan Sang (Hong Kong) Limited,HONG KONG,06/02/2014 12:00:00 AM,No
4261,Dietary Supplement/Medications/Remedy,Himalaya Ashwagandha,Arsenic,-1,ppm,The Himalaya Drug Company,INDIA,06/27/2019 12:00:00 AM,No
1131,Food Other,Miel de Tilleul Honey,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/22/2014 12:00:00 AM,No
2915,Tableware/Pottery,Tajine base (Exterior),Lead,0.55,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/30/2018 12:00:00 AM,No
1682,Food-Spice,Turmeric,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,02/17/2016 12:00:00 AM,No
3848,Paint Supplies,Acrylic Paint,Lead,-1,ppm,ArtSkills,UNKNOWN OR NOT STATED,03/15/2019 12:00:00 AM,No
3189,Dietary Supplement/Medications/Remedy,Schisandra Fruit,Lead,0.48,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/10/2018 12:00:00 AM,No
2496,Food-Spice,Morning Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,UZBEKISTAN,06/28/2017 12:00:00 AM,No
287,Food-Spice,Garam Masala,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,09/02/2011 12:00:00 AM,No
3588,Toys/Children's Products,crayon,Lead,0.61,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/02/2019 12:00:00 AM,No
1785,Food Other,Potted Plant,Lead,6100,ppm,UNKNOWN OR NOT STATED,UNITED STATES,06/07/2016 12:00:00 AM,No
3085,Dietary Supplement/Medications/Remedy,Vitamin C,Arsenic,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/27/2018 12:00:00 AM,No
2116,Tableware/Pottery,Non-glazed part of a clay pot,Lead,1400,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,12/23/2016 12:00:00 AM,No
1126,Dietary Supplement/Medications/Remedy,Napa Paracetamol,Lead,-1,ppm,BEXIMCO PHARMACEUTICALS LTD,BANGLADESH,05/16/2014 12:00:00 AM,No
3567,Paint Supplies,Apex,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,01/30/2019 12:00:00 AM,No
1515,Food-Spice,Red powder spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,JAMAICA,07/23/2015 12:00:00 AM,No
833,Food Other,Basmati Rice Extra Long Kernel,Lead,-1,ppm,DATA CORPORATION,PAKISTAN,06/27/2013 12:00:00 AM,No
4283,Dietary Supplement/Medications/Remedy,Hamdard Joshina,Lead,-1,ppm,Hamdard Laboratories (INDIA),INDIA,06/27/2019 12:00:00 AM,No
2285,Tableware/Pottery,"Glazed, ceramic mug--Exterior",Lead,3.7,ppm,UNKNOWN OR NOT STATED,UNITED STATES,03/10/2017 12:00:00 AM,No
2088,Food-Spice,Hot Jamaican Curry Powder,Lead,2.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,12/14/2016 12:00:00 AM,No
4684,Cosmetics,Portugal Cosmetics Blanquedora Faz,Mercury,-1,ppm,UNKNOWN OR NOT STATED,PERU,09/20/2019 12:00:00 AM,No
4488,Food-Spice,Turmeric,Lead,0.23,ppm,UNKNOWN OR NOT STATED,EGYPT,07/30/2019 12:00:00 AM,No
2766,Cosmetics,Hashmi Surma Special,Lead,810000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,12/21/2017 12:00:00 AM,No
884,Food-Spice,Ucxo Sunely,Lead,8.2,ppm,UNKNOWN OR NOT STATED,GEORGIA,08/15/2013 12:00:00 AM,No
1453,Food-Spice,Coriander powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/18/2015 12:00:00 AM,No
4880,Food Other,Instant Chocolate,Lead,-1,ppm,Lasco,JAMAICA,11/09/2019 12:00:00 AM,No
2012,Dietary Supplement/Medications/Remedy,Vitamin C Powder,Mercury,-1,ppm,Now,UNITED STATES,11/03/2016 12:00:00 AM,No
2179,Food-Spice,Curry Powder,Lead,4.2,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/06/2017 12:00:00 AM,No
247,Food-Spice,Turmeric,Lead,1.7,ppm,UNKNOWN OR NOT STATED,BANGLADESH,07/14/2011 12:00:00 AM,No
1490,Religious powder,Sindoor,Lead,10,ppm,UNKNOWN OR NOT STATED,BANGLADESH,05/05/2015 12:00:00 AM,No
3886,Food-Spice,Chilli powder,Lead,0.309,ppm,UNKNOWN OR NOT STATED,BANGLADESH,03/22/2019 12:00:00 AM,No
714,Food-Spice,Chili Powder,Lead,49,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/14/2013 12:00:00 AM,No
560,Food-Spice,Unlabeled spice,Lead,0.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/13/2012 12:00:00 AM,No
4101,Tableware/Pottery,Item #5. Medium Clay Pot w/ Swirl 2,Lead,9.9,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/01/2019 12:00:00 AM,No
1186,Food-Spice,Khemeli Suneli,Lead,0.49,ppm,Ltd 'Tiemti',GEORGIA,08/14/2014 12:00:00 AM,No
834,Cosmetics,Surma Special,Lead,620000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,06/27/2013 12:00:00 AM,No
1625,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/ Tian Wang Bu Xin Wan,Arsenic,-1,ppm,Lanzhou Traditional Herbs,CHINA,12/16/2015 12:00:00 AM,No
4457,Toys/Children's Products,Sidewalk chalk,Lead,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/26/2019 12:00:00 AM,No
192,Food Other,Dried Gingko Nuts,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,No
4796,Food-Spice,Chili Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/18/2019 12:00:00 AM,No
1120,Food-Spice,Georgian 'Adjeeka',Lead,45,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/29/2014 12:00:00 AM,No
900,Food-Spice,Brown seasoning powder,Lead,-1,ppm,Patisen Production,SENEGAL,09/10/2013 12:00:00 AM,No
3492,Dietary Supplement/Medications/Remedy,Acetaminophen,Lead,-1,MG/L,Medico Remedies Pvt. Ltd.,INDIA,01/24/2019 12:00:00 AM,No
4170,Food-Spice,Garam Masala,Lead,0.53,ppm,UNKNOWN OR NOT STATED,INDIA,05/24/2019 12:00:00 AM,No
3245,Dietary Supplement/Medications/Remedy,Vitamin supplement,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,11/13/2018 12:00:00 AM,No
4689,Cosmetics,Dermisa Brightening Cream,Mercury,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,09/20/2019 12:00:00 AM,No
98,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 12:00:00 AM,No
3246,Food-Spice,Jafran,Lead,0.72,ppm,UNKNOWN OR NOT STATED,GEORGIA,11/14/2018 12:00:00 AM,No
1789,Food Other,Torta de Quezo,Lead,1.2,ppm,UNKNOWN OR NOT STATED,UNITED STATES,06/10/2016 12:00:00 AM,No
3437,Food-Spice,Bulk Red Chili Spice,Lead,0.25,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/15/2019 12:00:00 AM,No
3192,Dietary Supplement/Medications/Remedy,CandiBactin-BR,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/10/2018 12:00:00 AM,No
2780,Food-Candy,Puffed rice snacks,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/30/2018 12:00:00 AM,No
234,Toys/Children's Products,Crayons,Lead,9,ppm,UNKNOWN OR NOT STATED,CHINA,06/23/2011 12:00:00 AM,No
261,Tableware/Pottery,Ceramic container,Lead,21000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/23/2011 12:00:00 AM,No
1706,Food-Candy,Kapa-Kym Chocolate Candy,Lead,-1,ppm,Grand Candy LLC,ARMENIA,03/17/2016 12:00:00 AM,No
1405,Dietary Supplement/Medications/Remedy,Arshoghni Bati (Ayurvedic),Arsenic,5.4,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,02/25/2015 12:00:00 AM,No
2311,Tableware/Pottery,Clay Bowl (Exterior),Lead,0.2,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/23/2017 12:00:00 AM,No
2111,Cosmetics,Johnson's Baby Powder,Lead,0.49,ppm,UNKNOWN OR NOT STATED,CHINA,12/21/2016 12:00:00 AM,No
2702,Dietary Supplement/Medications/Remedy,Neo Carmina Herb-Mint Tablets (Unani Medicine),Mercury,0.15,ppm,Hamdard Laboratories (Waqf) Pakistan,PAKISTAN,09/28/2017 12:00:00 AM,No
2921,Food-Spice,Chili Powder,Lead,0.34,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2018 12:00:00 AM,No
4587,Food-Spice,Dual Speacialty Store Chili Powder,Lead,0.31,ppm,UNKNOWN OR NOT STATED,INDIA,08/30/2019 12:00:00 AM,No
2354,Religious powder,Kum Kum Powder,Lead,11,ppm,UNKNOWN OR NOT STATED,INDIA,04/05/2017 12:00:00 AM,No
2658,Dietary Supplement/Medications/Remedy,Vacci Support,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,09/18/2017 12:00:00 AM,No
3139,Food-Spice,Jumbo Bouillon Cube,Lead,0.25,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,09/21/2018 12:00:00 AM,No
3493,Dietary Supplement/Medications/Remedy,Ibuprophen,Lead,-1,MG/L,Medico Remedies Pvt. Ltd.,INDIA,01/24/2019 12:00:00 AM,No
3928,Food-Spice,Cinnamon bark,Lead,2.3,ppm,UNKNOWN OR NOT STATED,BANGLADESH,03/29/2019 12:00:00 AM,No
3667,Food-Spice,Black tea,Lead,-1,ppm,UNKNOWN OR NOT STATED,YEMEN,02/20/2019 12:00:00 AM,No
1665,Food-Spice,Montreal Steak seasoning,Lead,0.22,ppm,"McCormick & Company, Inc.",UNKNOWN OR NOT STATED,02/10/2016 12:00:00 AM,No
289,Dietary Supplement/Medications/Remedy,Tempra Paracetamol,Lead,-1,ppm,Mead Johnson,MEXICO,09/08/2011 12:00:00 AM,No
1366,Dietary Supplement/Medications/Remedy,Arogyawardhini Bati (Shilajeet&Kutki) (Ayurvedic),Arsenic,2.7,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,02/25/2015 12:00:00 AM,No
4295,Dietary Supplement/Medications/Remedy,Zunda Hazma Pachak Churna,Lead,55,ppm,Falcon System of Ayurvedic Products,INDIA,06/27/2019 12:00:00 AM,No
2728,Cosmetics,Sandal Whitening Beauty Cream,Mercury,11000,ppm,Cosmetics-Pakistan,UNKNOWN OR NOT STATED,10/11/2017 12:00:00 AM,No
3921,Food-Spice,Chili Powder,Lead,0.27,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/27/2019 12:00:00 AM,No
3590,Food-Spice,Chilli Powder,Lead,0.8,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/04/2019 12:00:00 AM,No
742,Food-Spice,Turmeric powder,Lead,770,ppm,UNKNOWN OR NOT STATED,INDIA,03/22/2013 12:00:00 AM,No
